ID,POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,RATEAREA,SFPARKAREA,STREET_NUM,STREETNAME,STREET_SEG,Location
1333,444-03043,444-03040,3,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,304,GRANT AVE,6387000,"(37.789787, -122.405373)"
1334,444-03042,444-03040,2,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,304,GRANT AVE,6387000,"(37.789779, -122.405371)"
1335,460-02017,460-02010,7,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,201,HALLECK ST,6633000,"(37.793493, -122.401448)"
1336,460-02016,460-02010,6,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,201,HALLECK ST,6633000,"(37.793495, -122.401436)"
1337,460-02015,460-02010,5,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,201,HALLECK ST,6633000,"(37.793496, -122.401425)"
1338,460-02014,460-02010,4,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,201,HALLECK ST,6633000,"(37.793497, -122.401416)"
1339,460-02013,460-02010,3,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,201,HALLECK ST,6633000,"(37.793499, -122.401407)"
1340,460-02012,460-02010,2,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,201,HALLECK ST,6633000,"(37.7935, -122.401397)"
1341,422-02027,422-02020,7,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,202,FRONT ST,5869000,"(37.793561, -122.398744)"
1342,422-02026,422-02020,6,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,202,FRONT ST,5869000,"(37.79355, -122.398742)"
1343,422-02025,422-02020,5,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,202,FRONT ST,5869000,"(37.793541, -122.39874)"
1344,667-01550,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,155,SOUTH VAN NESS AVE,12017101,"(37.771411, -122.417937)"
1345,561-00140,561-00140,10,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,14,MAIN ST,8627000,"(37.792689, -122.396121)"
1346,561-00149,561-00140,9,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,14,MAIN ST,8627000,"(37.792694, -122.396128)"
1347,561-00148,561-00140,8,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,14,MAIN ST,8627000,"(37.792701, -122.396137)"
1348,561-00147,561-00140,7,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,14,MAIN ST,8627000,"(37.792708, -122.396145)"
1349,472-00564,472-00560,4,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,56,HYDE ST,7114000,"(37.781033, -122.4153)"
1350,472-00563,472-00560,3,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,56,HYDE ST,7114000,"(37.781021, -122.415298)"
1351,472-00562,472-00560,2,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,56,HYDE ST,7114000,"(37.781012, -122.415296)"
1352,472-00548,472-00540,8,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,54,HYDE ST,7114000,"(37.780994, -122.415292)"
1353,472-00547,472-00540,7,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,54,HYDE ST,7114000,"(37.780987, -122.415291)"
1354,472-00546,472-00540,6,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,54,HYDE ST,7114000,"(37.780979, -122.415289)"
1355,472-00545,472-00540,5,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,54,HYDE ST,7114000,"(37.780968, -122.415287)"
1356,472-00544,472-00540,4,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,54,HYDE ST,7114000,"(37.78096, -122.415285)"
1357,472-00543,472-00540,3,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,54,HYDE ST,7114000,"(37.78095, -122.415283)"
1358,472-00542,472-00540,2,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,54,HYDE ST,7114000,"(37.780942, -122.415281)"
1359,472-00527,472-00520,7,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,52,HYDE ST,7114000,"(37.780922, -122.415278)"
1360,472-00526,472-00520,6,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,52,HYDE ST,7114000,"(37.780913, -122.415276)"
1361,472-00525,472-00520,5,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,52,HYDE ST,7114000,"(37.780903, -122.415274)"
1362,472-00524,472-00520,4,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,52,HYDE ST,7114000,"(37.780894, -122.415272)"
1363,472-00523,472-00520,3,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,52,HYDE ST,7114000,"(37.780885, -122.41527)"
1364,472-00522,472-00520,2,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,52,HYDE ST,7114000,"(37.780873, -122.415267)"
1365,469-17600,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1760,HOLLOWAY AVE,6998201,"(37.721013, -122.480496)"
1366,211-00074,211-00070,4,Black,MS,N,N,SFMTA,ON,0,MC2, ,7,11TH ST,508000,"(37.775386, -122.418296)"
1367,211-00073,211-00070,3,Black,MS,N,N,SFMTA,ON,0,MC2, ,7,11TH ST,508000,"(37.775392, -122.418304)"
1368,211-00072,211-00070,2,Black,MS,N,N,SFMTA,ON,0,MC2, ,7,11TH ST,508000,"(37.775399, -122.418312)"
1369,211-00056,211-00050,6,Black,MS,N,N,SFMTA,ON,0,MC2, ,5,11TH ST,508000,"(37.775412, -122.418329)"
1370,211-00055,211-00050,5,Black,MS,N,N,SFMTA,ON,0,MC2, ,5,11TH ST,508000,"(37.775419, -122.418338)"
1371,211-00054,211-00050,4,Black,MS,N,N,SFMTA,ON,0,MC2, ,5,11TH ST,508000,"(37.775429, -122.41835)"
1372,211-00053,211-00050,3,Black,MS,N,N,SFMTA,ON,0,MC2, ,5,11TH ST,508000,"(37.775438, -122.418361)"
1373,211-00052,211-00050,2,Black,MS,N,N,SFMTA,ON,0,MC2, ,5,11TH ST,508000,"(37.775445, -122.418371)"
1374,470-15277,470-15270,7,Black,MS,N,N,SFMTA,ON,0,MC3, ,1527,HOWARD ST,7057000,"(37.772445, -122.416177)"
1375,470-15276,470-15270,6,Black,MS,N,N,SFMTA,ON,0,MC3, ,1527,HOWARD ST,7057000,"(37.772453, -122.416169)"
1376,470-15275,470-15270,5,Black,MS,N,N,SFMTA,ON,0,MC3, ,1527,HOWARD ST,7057000,"(37.77246, -122.416162)"
1377,470-15274,470-15270,4,Black,MS,N,N,SFMTA,ON,0,MC3, ,1527,HOWARD ST,7057000,"(37.772469, -122.416153)"
1378,470-15273,470-15270,3,Black,MS,N,N,SFMTA,ON,0,MC3, ,1527,HOWARD ST,7057000,"(37.772475, -122.416146)"
1379,470-15272,470-15270,2,Black,MS,N,N,SFMTA,ON,0,MC3, ,1527,HOWARD ST,7057000,"(37.772482, -122.41614)"
1380,470-14448,470-14440,8,Black,MS,N,N,SFMTA,ON,0,MC3, ,1444,HOWARD ST,7056000,"(37.773248, -122.415518)"
1381,470-14447,470-14440,7,Black,MS,N,N,SFMTA,ON,0,MC3, ,1444,HOWARD ST,7056000,"(37.773256, -122.415508)"
1382,470-14446,470-14440,6,Black,MS,N,N,SFMTA,ON,0,MC3, ,1444,HOWARD ST,7056000,"(37.773262, -122.4155)"
1383,470-14445,470-14440,5,Black,MS,N,N,SFMTA,ON,0,MC3, ,1444,HOWARD ST,7056000,"(37.77327, -122.415491)"
1384,470-14444,470-14440,4,Black,MS,N,N,SFMTA,ON,0,MC3, ,1444,HOWARD ST,7056000,"(37.773277, -122.415482)"
1385,470-14443,470-14440,3,Black,MS,N,N,SFMTA,ON,0,MC3, ,1444,HOWARD ST,7056000,"(37.773284, -122.415473)"
1386,470-14442,470-14440,2,Black,MS,N,N,SFMTA,ON,0,MC3, ,1444,HOWARD ST,7056000,"(37.77329, -122.415466)"
1387,211-03436,211-03430,6,Black,MS,N,N,SFMTA,ON,0,MC3, ,343,11TH ST,515000,"(37.771008, -122.412807)"
1388,211-03435,211-03430,5,Black,MS,N,N,SFMTA,ON,0,MC3, ,343,11TH ST,515000,"(37.771015, -122.412816)"
1389,211-03434,211-03430,4,Black,MS,N,N,SFMTA,ON,0,MC3, ,343,11TH ST,515000,"(37.771021, -122.412824)"
1390,211-03433,211-03430,3,Black,MS,N,N,SFMTA,ON,0,MC3, ,343,11TH ST,515000,"(37.771029, -122.412834)"
1391,211-03432,211-03430,2,Black,MS,N,N,SFMTA,ON,0,MC3, ,343,11TH ST,515000,"(37.771035, -122.412841)"
1392,211-03144,211-03140,4,Black,MS,N,N,SFMTA,ON,0,MC3, ,314,11TH ST,515000,"(37.771427, -122.413625)"
1393,206-06290,-,0,Black,SS,Y,N,SFMTA,ON,0,MC3, ,629,06TH ST,342000,"(37.773744, -122.399501)"
1394,206-06270,-,0,Black,SS,Y,N,SFMTA,ON,0,MC3, ,627,06TH ST,342000,"(37.773755, -122.399515)"
1395,206-06250,-,0,Black,SS,Y,N,SFMTA,ON,0,MC3, ,625,06TH ST,342000,"(37.773766, -122.399529)"
1396,469-17420,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1742,HOLLOWAY AVE,6998201,"(37.72101, -122.480398)"
1397,469-17660,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1766,HOLLOWAY AVE,6998201,"(37.721015, -122.480529)"
1398,661-01261,661-01260,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,126,STEVENSON ST,12166000,"(37.788429, -122.401358)"
1399,562-26070,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Fisherman's Wharf,2607,MASON ST,8840000,"(37.807767, -122.414099)"
1400,386-02081,386-02080,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,208,DRUMM ST,4972000,"(37.795785, -122.396692)"
1401,442-04038,442-04030,8,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,403,GOLDEN GATE AVE,6264000,"(37.781342, -122.41746)"
1402,442-04037,442-04030,7,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,403,GOLDEN GATE AVE,6264000,"(37.781344, -122.417449)"
1403,442-04036,442-04030,6,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,403,GOLDEN GATE AVE,6264000,"(37.781346, -122.417435)"
1404,442-04035,442-04030,5,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,403,GOLDEN GATE AVE,6264000,"(37.781347, -122.417422)"
1405,442-04034,442-04030,4,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,403,GOLDEN GATE AVE,6264000,"(37.781349, -122.417412)"
1406,442-04033,442-04030,3,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,403,GOLDEN GATE AVE,6264000,"(37.78135, -122.4174)"
1407,442-04032,442-04030,2,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,403,GOLDEN GATE AVE,6264000,"(37.781352, -122.417388)"
1408,442-04018,442-04010,8,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,401,GOLDEN GATE AVE,6264000,"(37.781355, -122.417363)"
1409,720-05252,720-05250,2,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,525,WASHINGTON ST,13408000,"(37.795538, -122.402673)"
1410,720-05346,720-05340,6,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,534,WASHINGTON ST,13409000,"(37.79562, -122.403037)"
1411,720-05345,720-05340,5,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,534,WASHINGTON ST,13409000,"(37.795622, -122.403025)"
1412,720-05344,720-05340,4,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,534,WASHINGTON ST,13409000,"(37.795623, -122.403013)"
1413,720-05343,720-05340,3,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,534,WASHINGTON ST,13409000,"(37.795625, -122.403)"
1414,720-05342,720-05340,2,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,534,WASHINGTON ST,13409000,"(37.795627, -122.402987)"
1415,684-01540,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,154,TOWNSEND ST,12657000,"(37.77972, -122.391807)"
1416,684-01240,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,124,TOWNSEND ST,12657000,"(37.780079, -122.391352)"
1417,687-00690,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,69,TAPIA DR,12375000,"(37.721601, -122.48058)"
1418,724-00330,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,33,WILLOW ST,13662000,"(37.783635, -122.418532)"
1419,219-41100,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,4110,19TH ST,985000,"(37.759307, -122.435344)"
1420,219-41120,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,4112,19TH ST,985000,"(37.759305, -122.435375)"
1421,219-41140,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,4114,19TH ST,985000,"(37.759303, -122.435404)"
1422,330-03230,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,323,BRANNAN ST,3074000,"(37.781306, -122.3926)"
1423,330-03250,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,325,BRANNAN ST,3074000,"(37.781298, -122.39261)"
1424,330-03270,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,327,BRANNAN ST,3074000,"(37.781289, -122.392622)"
1425,330-03290,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,329,BRANNAN ST,3075000,"(37.781281, -122.392632)"
1426,327-01291,327-01290,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,129,BROADWAY,3144000,"(37.798531, -122.400792)"
1427,327-01292,327-01290,2,Black,MS,N,N,SFMTA,ON,0,MC3, ,129,BROADWAY,3144000,"(37.798529, -122.400808)"
1428,327-01293,327-01290,3,Black,MS,N,N,SFMTA,ON,0,MC3, ,129,BROADWAY,3144000,"(37.798527, -122.400825)"
1429,327-01294,327-01290,4,Black,MS,N,N,SFMTA,ON,0,MC3, ,129,BROADWAY,3144000,"(37.798525, -122.400843)"
1430,327-01295,327-01290,5,Black,MS,N,N,SFMTA,ON,0,MC3, ,129,BROADWAY,3144000,"(37.798523, -122.400861)"
1431,327-01296,327-01290,6,Black,MS,N,N,SFMTA,ON,0,MC3, ,129,BROADWAY,3144000,"(37.79852, -122.400878)"
1432,327-01297,327-01290,7,Black,MS,N,N,SFMTA,ON,0,MC3, ,129,BROADWAY,3144000,"(37.798518, -122.400895)"
1433,327-01298,327-01290,8,Black,MS,N,N,SFMTA,ON,0,MC3, ,129,BROADWAY,3144000,"(37.798516, -122.40091)"
1434,422-01010,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,Downtown,101,FRONT ST,5868000,"(37.7925, -122.398688)"
1435,209-02121,209-02120,1,Black,MS,N,N,SFMTA,ON,0,MC2, ,212,09TH ST,451000,"(37.774649, -122.412882)"
1436,568-25270,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Mission,2527,MISSION ST,9123000,"(37.756204, -122.418729)"
1437,720-05431,720-05430,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,543,WASHINGTON ST,13409000,"(37.795493, -122.403031)"
1438,583-11016,583-11010,6,Black,MS,N,N,SFMTA,ON,0,MC3, ,1101,NOE ST,9628000,"(37.751286, -122.43178)"
1439,583-11015,583-11010,5,Black,MS,N,N,SFMTA,ON,0,MC3, ,1101,NOE ST,9628000,"(37.751296, -122.431781)"
1440,583-11014,583-11010,4,Black,MS,N,N,SFMTA,ON,0,MC3, ,1101,NOE ST,9628000,"(37.751305, -122.431782)"
1441,583-11013,583-11010,3,Black,MS,N,N,SFMTA,ON,0,MC3, ,1101,NOE ST,9628000,"(37.751315, -122.431783)"
1442,583-11012,583-11010,2,Black,MS,N,N,SFMTA,ON,0,MC3, ,1101,NOE ST,9628000,"(37.751324, -122.431784)"
1443,700-09374,700-09370,4,Black,MS,N,N,SFMTA,ON,0,MC5,Mission,937,VALENCIA ST,13068000,"(37.757518, -122.42107)"
1444,700-09373,700-09370,3,Black,MS,N,N,SFMTA,ON,0,MC5,Mission,937,VALENCIA ST,13068000,"(37.757531, -122.421071)"
1445,658-00104,658-00100,4,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,10,SPEAR ST,12044000,"(37.793572, -122.395483)"
1446,658-00103,658-00100,3,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,10,SPEAR ST,12044000,"(37.79358, -122.395493)"
1447,658-00102,658-00100,2,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,10,SPEAR ST,12044000,"(37.793586, -122.3955)"
1448,666-08142,666-08140,2,Black,MS,Y,N,SFMTA,ON,0,MC3, ,814,SUTTER ST,12326000,"(37.788591, -122.414087)"
1449,666-08143,666-08140,3,Black,MS,Y,N,SFMTA,ON,0,MC3, ,814,SUTTER ST,12326000,"(37.788589, -122.4141)"
1450,666-08144,666-08140,4,Black,MS,Y,N,SFMTA,ON,0,MC3, ,814,SUTTER ST,12326000,"(37.788588, -122.414112)"
1451,666-08145,666-08140,5,Black,MS,Y,N,SFMTA,ON,0,MC3, ,814,SUTTER ST,12326000,"(37.788587, -122.414122)"
1452,568-17467,568-17460,7,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1746,MISSION ST,9113000,"(37.768635, -122.420104)"
1453,568-17466,568-17460,6,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1746,MISSION ST,9113000,"(37.768645, -122.420105)"
1454,568-17465,568-17460,5,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1746,MISSION ST,9113000,"(37.768654, -122.420106)"
1455,568-17464,568-17460,4,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1746,MISSION ST,9113000,"(37.768663, -122.420107)"
1456,568-17463,568-17460,3,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1746,MISSION ST,9113000,"(37.768674, -122.420108)"
1457,568-17462,568-17460,2,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1746,MISSION ST,9113000,"(37.768685, -122.420109)"
1458,208-06670,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,667,08TH ST,417000,"(37.770221, -122.403994)"
1459,651-10310,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1031,SANSOME ST,11556000,"(37.800202, -122.402661)"
1460,651-10290,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1029,SANSOME ST,11556000,"(37.80019, -122.402658)"
1461,651-10300,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1030,SANSOME ST,11556000,"(37.800199, -122.402502)"
1462,651-10280,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1028,SANSOME ST,11556000,"(37.800183, -122.402499)"
1463,651-10260,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1026,SANSOME ST,11556000,"(37.80017, -122.402496)"
1464,563-03200,563-03004,20,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,320,MCALLISTER ST,8893000,"(37.78051, -122.417513)"
1465,859-00420,-,0,Black,SS,Y,N,PORT,ON,0,PortMC1, ,42,NORTH POINT ST,9686000,"(37.807335, -122.40808)"
1466,568-17442,568-17440,2,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1744,MISSION ST,9113000,"(37.768745, -122.420115)"
1467,568-17443,568-17440,3,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1744,MISSION ST,9113000,"(37.768735, -122.420114)"
1468,568-17444,568-17440,4,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1744,MISSION ST,9113000,"(37.768726, -122.420113)"
1469,568-17445,568-17440,5,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1744,MISSION ST,9113000,"(37.768718, -122.420113)"
1470,568-17446,568-17440,6,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1744,MISSION ST,9113000,"(37.76871, -122.420112)"
1471,568-17447,568-17440,7,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1744,MISSION ST,9113000,"(37.768702, -122.420111)"
1472,370-01510,370-01510,10,Black,MS,Y,N,SFMTA,ON,0,MC5,Mission,151,CAPP ST,3673000,"(37.763648, -122.418486)"
1473,370-01519,370-01510,9,Black,MS,Y,N,SFMTA,ON,0,MC5,Mission,151,CAPP ST,3673000,"(37.763658, -122.418487)"
1474,370-01518,370-01510,8,Black,MS,Y,N,SFMTA,ON,0,MC5,Mission,151,CAPP ST,3673000,"(37.763669, -122.418488)"
1475,370-01516,370-01510,6,Black,MS,Y,N,SFMTA,ON,0,MC5,Mission,151,CAPP ST,3673000,"(37.763687, -122.418489)"
1476,370-01515,370-01510,5,Black,MS,Y,N,SFMTA,ON,0,MC5,Mission,151,CAPP ST,3673000,"(37.763698, -122.41849)"
1477,370-01514,370-01510,4,Black,MS,Y,N,SFMTA,ON,0,MC5,Mission,151,CAPP ST,3673000,"(37.76371, -122.418491)"
1478,370-01513,370-01510,3,Black,MS,Y,N,SFMTA,ON,0,MC5,Mission,151,CAPP ST,3673000,"(37.763721, -122.418493)"
1479,370-01512,370-01510,2,Black,MS,Y,N,SFMTA,ON,0,MC5,Mission,151,CAPP ST,3673000,"(37.763731, -122.418493)"
